Designator,Mid X,Mid Y,Rotation,Layer
BT2,270.0,-115.3495,0.0,top
C1,222.045,-123.2,90.0,top
C10,165.75,-114.5,90.0,top
C11,165.75,-118.75,0.0,top
C12,153.0,-127.25,90.0,top
C13,161.75,-124.25,180.0,top
C14,141.25,-128.0,180.0,top
C15,161.75,-114.5,90.0,top
C16,153.75,-124.25,0.0,top
C17,134.75,-116.25,180.0,top
C18,134.7,-119.0,0.0,top
C19,128.3625,-119.25,180.0,top
C2,222.045,-126.7,90.0,top
C20,128.4125,-114.25,180.0,top
C21,133.9125,-112.5,180.0,top
C22,127.0625,-123.75,90.0,top
C23,279.25,-126.52,270.0,top
C24,277.25,-126.5,270.0,top
C3,224.045,-126.7,90.0,top
C4,222.295,-119.45,270.0,top
C5,218.545,-117.93,270.0,top
C6,240.865,-127.06,270.0,top
C7,218.545,-115.47,90.0,top
C9,221.045,-119.45,270.0,top
D1,221.5225,-113.75,180.0,top
D2,140.1625,-112.75,0.0,top
J1,175.0,-116.25,0.0,top
J3,267.25,-126.0,0.0,top
L1,161.75,-118.75,0.0,top
L2,152.0,-116.25,270.0,top
L3,130.1125,-123.75,90.0,top
Q10,250.25,-135.25,270.0,top
Q11,134.9375,-144.45,0.0,top
Q12,145.75,-132.25,180.0,top
Q13,226.1875,-144.5,0.0,top
Q14,242.25,-132.25,180.0,top
Q15,134.9375,-140.25,0.0,top
Q16,144.5,-136.0,180.0,top
Q17,226.1875,-140.25,0.0,top
Q18,241.0625,-136.0,180.0,top
Q19,134.9375,-136.0,0.0,top
Q2,140.75,-118.75,0.0,top
Q20,144.5,-140.25,180.0,top
Q21,226.25,-136.0,0.0,top
Q22,241.0625,-140.25,180.0,top
Q23,133.125,-132.25,0.0,top
Q24,178.5625,-144.45,180.0,top
Q25,224.4375,-132.25,0.0,top
Q26,269.5625,-144.5,180.0,top
Q27,125.1875,-135.25,270.0,top
Q28,195.5,-148.25,0.0,top
Q29,216.25,-135.25,270.0,top
Q3,116.0,-144.45,180.0,top
Q30,286.6875,-148.25,0.0,top
Q31,117.1875,-132.25,180.0,top
Q32,197.6875,-144.5,0.0,top
Q33,208.3125,-132.25,180.0,top
Q34,288.5,-144.5,0.0,top
Q35,116.0,-136.0,180.0,top
Q36,197.6875,-140.25,0.0,top
Q37,206.8125,-136.0,180.0,top
Q38,288.5,-140.25,0.0,top
Q39,116.0,-140.25,180.0,top
Q4,161.6875,-132.25,0.0,top
Q40,197.75,-136.05,0.0,top
Q41,206.8125,-140.25,180.0,top
Q42,288.5,-136.0,0.0,top
Q43,144.4375,-144.5,180.0,top
Q44,196.0,-132.25,0.0,top
Q45,241.0625,-144.45,180.0,top
Q46,286.75,-132.25,0.0,top
Q47,161.4375,-148.25,0.0,top
Q48,187.75,-135.25,270.0,top
Q49,258.1875,-148.25,0.0,top
Q5,206.8125,-144.45,180.0,top
Q50,278.75,-135.25,270.0,top
Q51,163.625,-144.5,0.0,top
Q52,179.75,-132.25,180.0,top
Q53,260.0,-144.5,0.0,top
Q54,270.75,-132.25,180.0,top
Q55,163.625,-140.25,0.0,top
Q56,178.625,-136.0,180.0,top
Q57,260.0,-140.25,0.0,top
Q58,269.5625,-136.0,180.0,top
Q59,163.625,-136.0,0.0,top
Q6,258.1875,-132.25,0.0,top
Q60,178.5625,-140.25,180.0,top
Q61,260.0,-136.0,0.0,top
Q62,269.5625,-140.2,180.0,top
Q7,133.125,-148.25,0.0,top
Q8,153.6875,-135.25,270.0,top
Q9,224.25,-148.25,0.0,top
R1,283.5,-129.25,180.0,top
R10,155.25,-127.25,270.0,top
R12,157.75,-124.25,0.0,top
R13,142.0,-124.75,270.0,top
R14,139.25,-124.75,270.0,top
R15,134.75,-121.75,0.0,top
R16,134.75,-124.75,180.0,top
R17,278.8125,-143.45,270.0,top
R18,250.3125,-143.45,270.0,top
R19,216.3125,-143.2,270.0,top
R2,221.17,-115.235,180.0,top
R20,187.8125,-143.0625,270.0,top
R21,153.75,-142.95,270.0,top
R22,125.25,-142.95,270.0,top
R5,272.25,-127.75,0.0,top
R6,262.0,-123.5,180.0,top
R9,161.75,-121.5,180.0,top
SW2,245.5,-124.75,180.0,top
U1,218.845,-126.0625,90.0,top
U10,149.25,-163.45,180.0,top
U11,212.25,-163.45,180.0,top
U12,129.25,-163.45,180.0,top
U2,282.75,-124.5,90.0,top
U3,229.7725,-119.0,270.0,top
U4,147.75,-126.0,180.0,top
U5,274.75,-163.45,180.0,top
U6,191.75,-163.45,180.0,top
U7,254.75,-163.45,180.0,top
U8,170.75,-163.45,180.0,top
U9,233.25,-163.45,180.0,top
X1,216.795,-116.7,90.0,top
